f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,clase
-0.000011,0.000063,-0.000492,-0.000006,0.000014,-0.000090,0.040688,0.040624,0.041117,0.023805,0.023791,0.023881,0.002642,0.001635,0.007307,0.002609,0.001492,0.004569,1.871300,1.871200,1.870500,1.874600,1.874600,1.873900,0.013453,1.090700,-0.732930,0.028404,0.135820,0.394370,0.007471,0.007351,0.007791,-0.012134,-0.012168,-0.012147,-0.585250,6.118900,5.525800,-0.628600,0.657950,4.082200,-1.502400,-1.502400,-1.502400,-1.492600,-1.492600,-1.492500,8.000000
-0.000006,0.000029,-0.000115,-0.000005,-0.000009,-0.000009,0.014092,0.014063,0.014178,-0.020808,-0.020799,-0.020791,0.001113,0.000679,0.001903,0.001135,0.000545,0.000839,1.165400,1.165500,1.165300,1.167200,1.167200,1.167100,0.006220,5.425700,-1.179200,0.006391,-0.328180,-0.126700,0.001933,0.001853,0.001937,-0.002755,-0.002737,-0.002705,-0.682430,61.369000,23.344000,-0.720370,9.200700,2.278400,-1.497900,-1.497800,-1.497800,-1.496400,-1.496400,-1.496400,6.000000
-0.000009,0.000028,0.000002,-0.000003,0.000007,0.000036,0.029457,0.029429,0.029428,-0.026576,-0.026584,-0.026620,0.001223,0.000777,0.001466,0.001263,0.000720,0.001821,1.585000,1.584900,1.584800,1.585600,1.585500,1.585200,0.011252,0.035297,-0.315310,-0.001649,0.112760,0.562520,0.001735,0.001709,0.001757,-0.000447,-0.000450,-0.000504,-0.762400,24.891000,17.156000,-0.806100,12.084000,7.943900,-1.503400,-1.503400,-1.503300,-1.495400,-1.495400,-1.495500,1.000000
-0.000011,0.000046,0.000127,-0.000015,0.000038,-0.000229,-0.021997,-0.022042,-0.022169,-0.024261,-0.024299,-0.024069,0.002175,0.001126,0.002716,0.002157,0.001131,0.002447,1.292800,1.292800,1.292100,1.298400,1.298400,1.297900,-0.001895,0.212100,-0.041950,-0.005958,0.196990,-0.877060,0.008926,0.008833,0.008589,-0.018599,-0.018640,-0.018512,-0.682640,0.856800,2.084500,-0.719870,0.805390,4.604100,-1.500300,-1.500300,-1.500000,-1.493800,-1.493700,-1.493500,2.000000
-0.000007,-0.000004,0.000071,-0.000004,0.000026,-0.000098,0.046979,0.046982,0.046911,0.101920,0.101890,0.101990,0.002492,0.001564,0.004559,0.002503,0.001449,0.004742,1.712700,1.712600,1.712100,1.711200,1.711200,1.710500,-0.015891,0.024704,-0.097838,-0.007963,-0.018360,-1.126800,0.007958,0.007936,0.008023,0.000697,0.000692,0.000911,-0.634160,1.084400,9.509100,-0.678110,2.387900,9.887800,-1.502100,-1.502300,-1.502300,-1.493900,-1.493900,-1.493800,7.000000
-0.000018,-0.000185,0.000254,-0.000027,-0.000060,-0.000355,0.028416,0.028601,0.028347,0.043385,0.043445,0.043800,0.003025,0.002609,0.005444,0.002986,0.001850,0.010749,2.372700,2.372300,2.371000,2.368900,2.368800,2.367700,0.017358,-2.257600,0.143610,0.022722,0.124750,-0.444360,0.004592,0.004805,0.004704,-0.015505,-0.015490,-0.014710,-0.543580,14.645000,2.369500,-0.534440,3.708800,7.920000,-1.501900,-1.502100,-1.502100,-1.494500,-1.494500,-1.494600,4.000000
0.000000,-0.000000,-0.000004,-0.000005,-0.000004,0.000021,0.012441,0.012441,0.012446,0.021817,0.021821,0.021800,0.000802,0.000294,0.000638,0.000796,0.000281,0.000619,1.698300,1.698300,1.698300,1.695500,1.695500,1.695500,0.008765,0.012514,-0.021767,0.010301,0.141680,0.147820,-0.000745,-0.000742,-0.000731,-0.003202,-0.003199,-0.003151,-0.494650,5.526500,10.871000,-0.501830,3.796000,13.307000,-1.499200,-1.499200,-1.499200,-1.498700,-1.498700,-1.498800,3.000000
0.000004,0.000047,-0.000142,-0.000005,0.000001,0.000169,-0.033726,-0.033772,-0.033630,-0.035085,-0.035086,-0.035255,0.002169,0.001245,0.004049,0.002214,0.001146,0.003290,1.379000,1.378900,1.378700,1.375900,1.375800,1.375300,-0.010657,0.137740,-0.623220,-0.018943,-0.024754,0.019031,0.012803,0.012710,0.012588,-0.003085,-0.003063,-0.003065,-0.726050,0.000994,6.125400,-0.689250,0.262030,5.093100,-1.498600,-1.498700,-1.498500,-1.502800,-1.502900,-1.502500,2.000000
-0.000029,-0.000195,0.000070,-0.000017,-0.000080,-0.000009,0.029251,0.029446,0.029377,0.039300,0.039380,0.039389,0.003049,0.002374,0.004004,0.002988,0.002015,0.004492,2.353300,2.352900,2.352100,2.358200,2.358100,2.357800,0.019696,-3.194900,0.223210,0.032513,-0.642630,0.371090,0.003798,0.003979,0.004216,-0.016848,-0.016795,-0.016865,-0.503980,22.562000,2.133800,-0.504560,7.581800,6.915200,-1.502600,-1.502800,-1.502600,-1.492200,-1.492200,-1.492000,4.000000
-0.000007,-0.000002,0.000039,-0.000002,-0.000021,0.000001,-0.072387,-0.072384,-0.072424,-0.191270,-0.191250,-0.191250,0.001154,0.000654,0.001121,0.001124,0.000495,0.000794,1.225600,1.225600,1.225500,1.230400,1.230400,1.230300,0.000721,-0.142520,0.133970,0.003324,-0.431090,-0.005841,-0.013789,-0.013780,-0.013834,-0.018181,-0.018149,-0.018129,-0.709910,17.980000,5.737200,-0.647570,2.117500,2.133200,-1.497200,-1.497200,-1.497000,-1.497000,-1.497000,-1.497100,11.000000
-0.000000,-0.000018,0.000112,-0.000009,0.000036,0.000120,0.008298,0.008316,0.008204,0.010334,0.010298,0.010178,0.002139,0.001144,0.003681,0.002182,0.001110,0.003723,1.224200,1.224200,1.223300,1.228600,1.228600,1.228200,-0.015462,-0.182260,-0.350920,-0.010694,0.065223,0.585960,0.005929,0.006016,0.006154,-0.003325,-0.003352,-0.002618,-0.704220,0.446730,3.877600,-0.720250,-0.076430,3.582300,-1.507200,-1.507300,-1.507200,-1.497900,-1.498000,-1.497600,3.000000
0.000004,0.000086,0.000135,-0.000001,0.000081,0.000558,0.033554,0.033467,0.033332,-0.045579,-0.045660,-0.046218,0.002579,0.001479,0.003774,0.002536,0.001512,0.004574,1.781700,1.781600,1.780900,1.785700,1.785600,1.785000,-0.021347,0.369240,-0.145160,-0.006500,0.270140,1.303400,0.012601,0.012465,0.012626,-0.009587,-0.009670,-0.009567,-0.631300,2.092000,1.642300,-0.679550,2.044900,6.819000,-1.503900,-1.503900,-1.503800,-1.492500,-1.492600,-1.492700,1.000000
0.000001,0.000036,0.000097,0.000009,0.000031,-0.000005,-0.035562,-0.035599,-0.035696,-0.028057,-0.028088,-0.028083,0.002652,0.001438,0.002908,0.002530,0.001361,0.004215,1.838200,1.838200,1.837700,1.843100,1.843000,1.842400,-0.019175,0.058688,0.304240,-0.020110,0.002344,-0.466230,-0.006432,-0.006445,-0.006779,0.009366,0.009324,0.009775,-0.602920,3.438100,3.094800,-0.633680,-0.031573,4.155800,-1.505100,-1.505100,-1.505000,-1.491900,-1.491900,-1.491700,2.000000
0.000001,-0.000002,0.000018,0.000002,-0.000002,0.000033,0.032300,0.032302,0.032284,-0.005417,-0.005416,-0.005449,0.000811,0.000306,0.000752,0.000817,0.000312,0.000783,1.866700,1.866700,1.866700,1.863500,1.863500,1.863400,0.001752,-0.659070,-0.072861,-0.007827,-0.370350,2.384000,0.003388,0.003393,0.003376,-0.000356,-0.000355,-0.000409,-0.499980,12.162000,16.594000,-0.435860,13.222000,29.107000,-1.498400,-1.498300,-1.498300,-1.497800,-1.497800,-1.497900,8.000000
0.000010,0.000013,0.000495,-0.000004,0.000000,-0.000259,0.005214,0.005201,0.004706,0.018119,0.018119,0.018378,0.002460,0.001706,0.004761,0.002532,0.001718,0.005927,1.712100,1.712000,1.711200,1.707400,1.707200,1.706100,-0.024914,-1.004400,0.775460,0.005548,-0.570690,0.016767,0.009031,0.009068,0.008993,0.012830,0.012887,0.012759,-0.649570,8.474600,6.700700,-0.650450,7.284700,1.797100,-1.503000,-1.503000,-1.502600,-1.500300,-1.500400,-1.499600,3.000000
0.000001,0.000031,-0.000027,-0.000010,-0.000042,-0.000381,0.028611,0.028581,0.028607,0.003915,0.003958,0.004339,0.002294,0.001138,0.002769,0.002272,0.001193,0.003835,1.404800,1.404700,1.404300,1.404800,1.404800,1.404000,0.010225,0.094085,0.207130,0.019230,-0.324320,-0.881710,0.008263,0.008226,0.008192,-0.006193,-0.006129,-0.005795,-0.681820,0.218170,7.200500,-0.660950,0.997740,4.434100,-1.502200,-1.502200,-1.501800,-1.498700,-1.498700,-1.498600,8.000000
0.000004,-0.000007,0.000059,-0.000003,0.000016,-0.000031,0.026455,0.026462,0.026403,-0.033986,-0.034002,-0.033971,0.001131,0.000570,0.001589,0.001074,0.000501,0.001327,1.179100,1.179000,1.178800,1.179800,1.179800,1.179600,-0.003828,-0.300350,-0.052078,-0.000800,0.334550,-1.475700,0.001210,0.001240,0.001174,-0.002811,-0.002849,-0.002616,-0.685570,3.498800,12.504000,-0.663740,2.350000,14.827000,-1.498900,-1.499000,-1.498900,-1.498800,-1.498800,-1.498900,1.000000
