f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,clase
-0.000006,0.000024,0.000274,0.000008,0.000023,0.000038,-0.025172,-0.025197,-0.025471,-0.015366,-0.015390,-0.015427,0.002169,0.001302,0.004043,0.002213,0.001216,0.003373,1.335100,1.335000,1.334600,1.333100,1.333000,1.332300,-0.007935,-0.103540,0.572070,-0.014501,0.035552,0.324760,0.005566,0.005530,0.005621,0.005518,0.005546,0.005539,-0.700240,0.350000,9.273600,-0.701020,1.139400,2.941800,-1.500200,-1.500200,-1.500200,-1.501600,-1.501700,-1.501700,10.000000
-0.000008,-0.000031,-0.000165,0.000013,-0.000012,0.000205,0.019739,0.019770,0.019936,0.020082,0.020094,0.019888,0.002601,0.001464,0.003995,0.002601,0.001500,0.003221,1.884400,1.884300,1.883800,1.873600,1.873600,1.872900,0.008722,0.025678,-0.343270,-0.005991,-0.083963,0.574170,-0.012918,-0.012896,-0.012947,0.005046,0.005038,0.004920,-0.632480,1.002300,3.664500,-0.660420,1.751900,4.785800,-1.498400,-1.498400,-1.498100,-1.500400,-1.500400,-1.500200,8.000000
-0.000007,0.000040,-0.000039,0.000005,0.000032,0.000149,-0.027153,-0.027193,-0.027154,-0.016979,-0.017010,-0.017159,0.002328,0.001473,0.002394,0.002218,0.001245,0.003432,1.420400,1.420400,1.419900,1.424300,1.424300,1.423700,-0.013968,-1.628900,-0.556090,-0.019470,0.042282,0.780340,-0.007200,-0.007206,-0.007306,0.005770,0.005732,0.005846,-0.678160,15.491000,6.972500,-0.683190,-0.035528,8.356800,-1.504000,-1.504000,-1.504000,-1.490900,-1.490900,-1.490700,10.000000
-0.000002,0.000004,-0.000039,-0.000001,-0.000002,-0.000015,0.013218,0.013215,0.013254,-0.020856,-0.020854,-0.020839,0.000780,0.000257,0.000625,0.000771,0.000226,0.000557,0.968530,0.968530,0.968490,0.967910,0.967910,0.967920,0.007004,0.048902,-0.600560,-0.000224,-0.146640,-0.092594,0.004311,0.004295,0.004276,-0.005461,-0.005460,-0.005528,-0.646950,4.917600,5.110100,-0.652090,4.376900,4.930400,-1.497000,-1.497000,-1.497000,-1.494400,-1.494400,-1.494400,6.000000
-0.000015,0.000010,-0.000111,-0.000026,-0.000077,-0.000028,0.028356,0.028347,0.028458,0.018864,0.018942,0.018970,0.002221,0.001449,0.003693,0.002211,0.001315,0.003317,1.334000,1.333900,1.333200,1.331200,1.331200,1.330700,0.020612,-0.180730,-0.390230,0.039005,-0.794140,-0.030451,0.009720,0.009646,0.009926,0.017427,0.017573,0.017752,-0.687100,5.959400,7.490400,-0.694170,4.661600,4.649700,-1.496400,-1.496400,-1.496100,-1.502700,-1.502700,-1.502600,5.000000
0.000009,-0.000041,-0.000055,0.000008,-0.000033,0.000133,0.018259,0.018300,0.018355,0.061869,0.061902,0.061769,0.002234,0.001308,0.003448,0.002260,0.001326,0.002524,1.366300,1.366300,1.365500,1.367600,1.367500,1.366900,-0.003034,-0.379500,-0.424810,0.009392,-0.375200,0.152670,0.004844,0.004913,0.005223,0.015993,0.016024,0.015873,-0.697460,2.254400,4.735000,-0.704770,2.720500,2.449900,-1.498600,-1.498600,-1.498800,-1.500700,-1.500700,-1.500600,4.000000
-0.000001,-0.000002,0.000066,-0.000003,-0.000011,0.000012,0.057617,0.057619,0.057553,0.111890,0.111900,0.111880,0.000791,0.000545,0.001878,0.000776,0.000523,0.002015,1.295100,1.295100,1.295000,1.292100,1.292100,1.292100,0.006871,0.994650,3.109800,0.014404,0.485710,-1.473500,0.006853,0.006865,0.006610,-0.001195,-0.001172,-0.001137,-0.570010,27.938000,25.718000,-0.544070,26.584000,19.421000,-1.496800,-1.496800,-1.496500,-1.497800,-1.497900,-1.497900,7.000000
0.000001,0.000071,0.000905,-0.000003,0.000035,-0.000992,0.012280,0.012209,0.011304,0.022008,0.021973,0.022965,0.002824,0.001889,0.008892,0.002749,0.001510,0.007635,2.110000,2.109900,2.108400,2.099000,2.098900,2.097200,-0.027835,1.118500,0.400390,0.004342,0.136230,-1.282500,0.017739,0.017747,0.017377,0.008776,0.008763,0.008541,-0.555080,9.140200,4.813300,-0.576660,0.110520,6.003200,-1.496100,-1.496000,-1.495800,-1.502700,-1.502700,-1.502300,3.000000
0.000004,-0.000003,-0.000047,-0.000003,-0.000021,-0.000007,0.022996,0.023000,0.023047,0.061755,0.061776,0.061783,0.001387,0.000847,0.002561,0.001438,0.000943,0.001525,2.096600,2.096600,2.096400,2.089800,2.089700,2.089600,0.004846,-0.566690,-0.908630,0.003869,-0.112400,-0.535180,0.004736,0.004728,0.004815,0.001513,0.001538,0.001582,-0.823600,16.860000,8.700100,-0.829820,23.424000,5.269800,-1.501200,-1.501200,-1.501200,-1.497600,-1.497600,-1.497600,4.000000
-0.000004,-0.000005,0.000027,-0.000006,-0.000001,-0.000007,-0.026632,-0.026627,-0.026654,-0.023353,-0.023353,-0.023346,0.000819,0.000332,0.001080,0.000814,0.000290,0.000510,1.848600,1.848600,1.848600,1.845800,1.845800,1.845700,0.007766,-1.030600,1.045100,0.007220,-0.167440,0.419240,-0.001720,-0.001709,-0.001716,-0.000772,-0.000770,-0.000753,-0.460100,17.338000,26.871000,-0.473440,6.418700,9.468900,-1.498000,-1.498000,-1.497900,-1.500100,-1.500000,-1.500000,2.000000
